available_years,complete_for_requested_window,config_key,country_code,country_name,country_role,indicator_code,indicator_name,latest_available_year,missing_years
"[2018, 2019, 2020, 2021, 2022, 2023, 2024]",True,gdp_per_capita,CHN,China,Rapidly developing comparator,WB_WDI_NY_GDP_PCAP_CD,GDP Per Capita,2024,[]
"[2018, 2019, 2020, 2021, 2022, 2023, 2024]",True,gdp_per_capita,DEU,Germany,European comparator,WB_WDI_NY_GDP_PCAP_CD,GDP Per Capita,2024,[]
"[2018, 2019, 2020, 2021, 2022, 2023, 2024]",True,gdp_per_capita,GBR,United Kingdom,Primary focus,WB_WDI_NY_GDP_PCAP_CD,GDP Per Capita,2024,[]
"[2018, 2019, 2020, 2021, 2022, 2023, 2024]",True,gdp_per_capita,SWE,Sweden,Welfare model comparator,WB_WDI_NY_GDP_PCAP_CD,GDP Per Capita,2024,[]
"[2018, 2019, 2020, 2021, 2022, 2023, 2024]",True,gdp_per_capita,USA,United States,High-income benchmark,WB_WDI_NY_GDP_PCAP_CD,GDP Per Capita,2024,[]
"[2018, 2019, 2020, 2021, 2022, 2023]",False,health_expenditure_per_capita,CHN,China,Rapidly developing comparator,WB_WDI_SH_XPD_CHEX_PC_CD,Health Expenditure Per Capita,2023,[2024]
"[2018, 2019, 2020, 2021, 2022, 2023, 2024]",True,health_expenditure_per_capita,DEU,Germany,European comparator,WB_WDI_SH_XPD_CHEX_PC_CD,Health Expenditure Per Capita,2024,[]
"[2018, 2019, 2020, 2021, 2022, 2023, 2024]",True,health_expenditure_per_capita,GBR,United Kingdom,Primary focus,WB_WDI_SH_XPD_CHEX_PC_CD,Health Expenditure Per Capita,2024,[]
"[2018, 2019, 2020, 2021, 2022, 2023, 2024]",True,health_expenditure_per_capita,SWE,Sweden,Welfare model comparator,WB_WDI_SH_XPD_CHEX_PC_CD,Health Expenditure Per Capita,2024,[]
"[2018, 2019, 2020, 2021, 2022, 2023]",False,health_expenditure_per_capita,USA,United States,High-income benchmark,WB_WDI_SH_XPD_CHEX_PC_CD,Health Expenditure Per Capita,2023,[2024]
"[2018, 2019, 2020, 2021, 2022, 2023]",False,life_expectancy,CHN,China,Rapidly developing comparator,WB_WDI_SP_DYN_LE00_IN,Life Expectancy,2023,[2024]
"[2018, 2019, 2020, 2021, 2022, 2023]",False,life_expectancy,DEU,Germany,European comparator,WB_WDI_SP_DYN_LE00_IN,Life Expectancy,2023,[2024]
"[2018, 2019, 2020, 2021, 2022, 2023]",False,life_expectancy,GBR,United Kingdom,Primary focus,WB_WDI_SP_DYN_LE00_IN,Life Expectancy,2023,[2024]
"[2018, 2019, 2020, 2021, 2022, 2023]",False,life_expectancy,SWE,Sweden,Welfare model comparator,WB_WDI_SP_DYN_LE00_IN,Life Expectancy,2023,[2024]
"[2018, 2019, 2020, 2021, 2022, 2023]",False,life_expectancy,USA,United States,High-income benchmark,WB_WDI_SP_DYN_LE00_IN,Life Expectancy,2023,[2024]
